team1,setswon1,team2,setswon2
UST,3,FEU,0
NU,3,ADU,0
ADMU,1,DLSU,3
UP,3,UE,0
NU,3,ADMU,1
DLSU,3,ADU,0
FEU,2,UP,3
UE,0,UST,3
UST,1,UP,3
FEU,2,UE,3
DLSU,0,NU,3
ADU,3,ADMU,1
UE,0,NU,3
ADMU,3,FEU,1
ADU,3,UP,1
DLSU,2,UST,3
FEU,1,ADU,3
UST,1,NU,3
UE,0,DLSU,3
UP,0,ADMU,3
UP,0,DLSU,3
ADMU,3,UE,1
UST,3,ADU,2
NU,3,FEU,0
ADU,3,UE,0
UP,0,NU,3
ADMU,1,UST,3
DLSU,3,FEU,0
ADU,2,UST,3
UE,0,UP,3
FEU,0,ADMU,3
NU,3,DLSU,0
UE,0,ADU,3
UP,1,UST,3
ADMU,1,NU,3
FEU,0,DLSU,3
UST,0,ADMU,3
ADU,3,FEU,0
DLSU,3,UP,0
NU,3,UE,0
UP,3,FEU,0
UST,1,DLSU,3
ADU,1,NU,3
UE,0,ADMU,3
NU,3,UP,0
FEU,1,UST,3
DLSU,3,UE,0
ADMU,3,ADU,2
UST,3,UE,0
FEU,1,NU,3
DLSU,3,ADMU,2
UP,1,ADU,3
UE,1,FEU,3
ADU,3,DLSU,1
NU,3,UST,0
ADMU,3,UP,1
